,symbol,companyName,sectorKey,industryKey
3515,GCMG,GCM Grosvenor Inc.,financial-services,asset-management
3516,GCT,GigaCloud Technology Inc.,technology,software-infrastructure
3517,GCTK,"GlucoTrack, Inc.",healthcare,medical-instruments-supplies
3518,GDC,GD Culture Group Limited,communication-services,electronic-gaming-multimedia
3519,GDEN,"Golden Entertainment, Inc.",consumer-cyclical,resorts-casinos
3520,GDEV,GDEV Inc.,communication-services,electronic-gaming-multimedia
3521,GDHG,Golden Heaven Group Holdings Ltd.,consumer-cyclical,leisure
3522,GDRX,"GoodRx Holdings, Inc.",healthcare,health-information-services
3523,GDS,GDS Holdings Limited,technology,information-technology-services
3524,GDTC,CytoMed Therapeutics Limited,healthcare,biotechnology
3525,GDYN,"Grid Dynamics Holdings, Inc.",technology,information-technology-services
3526,GECC,Great Elm Capital Corp.,financial-services,asset-management
3527,GEG,"Great Elm Group, Inc.",financial-services,asset-management
3528,GEHC,GE HealthCare Technologies Inc.,healthcare,health-information-services
3529,GELS,Gelteq Limited,healthcare,drug-manufacturers-specialty-generic
3530,GEN,Gen Digital Inc.,technology,software-infrastructure
3531,GENK,"GEN Restaurant Group, Inc.",consumer-cyclical,restaurants
3532,GEOS,Geospace Technologies Corporation,energy,oil-gas-equipment-services
3533,GERN,Geron Corporation,healthcare,biotechnology
3534,GEVO,"Gevo, Inc.",basic-materials,specialty-chemicals
3535,GFAI,"Guardforce AI Co., Limited",industrials,security-protection-services
3536,GFS,GlobalFoundries Inc.,technology,semiconductors
3537,GGAL,Grupo Financiero Galicia S.A.,financial-services,banks-regional
3538,GGR,Gogoro Inc.,consumer-cyclical,auto-manufacturers
3539,GH,"Guardant Health, Inc.",healthcare,diagnostics-research
3540,GHRS,GH Research PLC,healthcare,biotechnology
3541,GIBO,GIBO Holdings Limited,communication-services,internet-content-information
3542,GIFI,"Gulf Island Fabrication, Inc.",industrials,metal-fabrication
3543,GIFT,"Giftify, Inc.",communication-services,internet-content-information
3544,GIG,GigCapital7 Corp.,financial-services,shell-companies
3545,GIGM,GigaMedia Limited,communication-services,electronic-gaming-multimedia
3546,GIII,"G-III Apparel Group, Ltd.",consumer-cyclical,apparel-manufacturing
3547,GILD,"Gilead Sciences, Inc.",healthcare,drug-manufacturers-general
3548,GILT,Gilat Satellite Networks Ltd.,technology,communication-equipment
3549,GIPR,"Generation Income Properties, Inc.",real-estate,reit-diversified
3550,GITS,"Global Interactive Technologies, Inc.",communication-services,internet-content-information
3551,GLAD,Gladstone Capital Corporation,financial-services,asset-management
3552,GLBE,Global-E Online Ltd.,consumer-cyclical,internet-retail
