,symbol,companyName,sectorKey,industryKey
0,A,"Agilent Technologies, Inc.",healthcare,diagnostics-research
1,AA,Alcoa Corporation,basic-materials,aluminum
2,AACT,Ares Acquisition Corporation II,financial-services,shell-companies
3,AAM,AA Mission Acquisition Corp.,financial-services,shell-companies
4,AAMI,Acadian Asset Management Inc.,financial-services,asset-management
5,AAP,"Advance Auto Parts, Inc.",consumer-cyclical,auto-parts
6,AAT,"American Assets Trust, Inc.",real-estate,reit-diversified
7,AB,AllianceBernstein Holding L.P.,financial-services,asset-management
8,ABBV,AbbVie Inc.,healthcare,drug-manufacturers-general
9,ABCB,Ameris Bancorp,financial-services,banks-regional
10,ABEV,Ambev S.A.,consumer-defensive,beverages-brewers
11,ABG,"Asbury Automotive Group, Inc.",consumer-cyclical,auto-truck-dealerships
12,ABM,ABM Industries Incorporated,industrials,specialty-business-services
13,ABR,"Arbor Realty Trust, Inc.",real-estate,reit-mortgage
14,ABT,Abbott Laboratories,healthcare,medical-devices
15,AC,"Associated Capital Group, Inc.",financial-services,asset-management
16,ACA,"Arcosa, Inc.",industrials,engineering-construction
17,ACCO,ACCO Brands Corporation,industrials,business-equipment-supplies
18,ACEL,"Accel Entertainment, Inc.",consumer-cyclical,gambling
19,ACHR,Archer Aviation Inc.,industrials,aerospace-defense
20,ACI,"Albertsons Companies, Inc.",consumer-defensive,grocery-stores
21,ACM,AECOM,industrials,engineering-construction
22,ACN,Accenture plc,technology,information-technology-services
23,ACP,Abrdn Income Credit Strategies Fund,financial-services,asset-management
24,ACR,ACRES Commercial Realty Corp.,real-estate,reit-mortgage
25,ACRE,Ares Commercial Real Estate Corporation,real-estate,reit-mortgage
26,ACV,Virtus Diversified Income & Convertible Fund,financial-services,asset-management
27,ACVA,ACV Auctions Inc.,consumer-cyclical,auto-truck-dealerships
28,ADC,Agree Realty Corporation,real-estate,reit-retail
29,ADCT,ADC Therapeutics SA,healthcare,biotechnology
30,ADM,Archer-Daniels-Midland Company,consumer-defensive,farm-products
31,ADNT,Adient plc,consumer-cyclical,auto-parts
32,ADT,ADT Inc.,industrials,security-protection-services
33,ADX,"Adams Diversified Equity Fund, Inc.",financial-services,asset-management
34,AEE,Ameren Corporation,utilities,utilities-regulated-electric
35,AEFC,Aegon Funding Company LLC 5.10%,N/A,N/A
36,AEG,Aegon Ltd.,financial-services,insurance-diversified
37,AEM,Agnico Eagle Mines Limited,basic-materials,gold
38,AEO,"American Eagle Outfitters, Inc.",consumer-cyclical,apparel-retail
39,AER,AerCap Holdings N.V.,industrials,rental-leasing-services
40,AES,The AES Corporation,utilities,utilities-diversified
41,AESI,Atlas Energy Solutions Inc.,energy,oil-gas-equipment-services
42,AFB,"AllianceBernstein National Municipal Income Fund, Inc.",financial-services,asset-management
43,AFG,"American Financial Group, Inc.",financial-services,insurance-property-casualty
44,AFGB,"American Financial Group, Inc. ",N/A,N/A
45,AFGC,"American Financial Group, Inc.",N/A,N/A
46,AFGD,"American Financial Group, Inc.",N/A,N/A
47,AFGE,"American Financial Group, Inc.",N/A,N/A
48,AFL,Aflac Incorporated,financial-services,insurance-life
49,AG,First Majestic Silver Corp.,basic-materials,silver
50,AGCO,AGCO Corporation,industrials,farm-heavy-construction-machinery
51,AGD,Abrdn Global Dynamic Dividend Fund,financial-services,asset-management
52,AGI,Alamos Gold Inc.,basic-materials,gold
53,AGL,"agilon health, inc.",healthcare,medical-care-facilities
54,AGM,Federal Agricultural Mortgage Corporation,financial-services,credit-services
55,AGO,Assured Guaranty Ltd.,financial-services,insurance-specialty
56,AGRO,Adecoagro S.A.,consumer-defensive,farm-products
57,AGS,"PlayAGS, Inc.",consumer-cyclical,gambling
58,AGX,"Argan, Inc.",industrials,engineering-construction
59,AHH,"Armada Hoffler Properties, Inc.",real-estate,reit-diversified
60,AHL,Aspen Insurance Holdings Limite,financial-services,insurance-property-casualty
61,AHR,"American Healthcare REIT, Inc.",real-estate,reit-healthcare-facilities
62,AHT,"Ashford Hospitality Trust, Inc.",real-estate,reit-hotel-motel
63,AI,"C3.ai, Inc.",technology,software-infrastructure
64,AIG,"American International Group, Inc.",financial-services,insurance-diversified
65,AII,"American Integrity Insurance Group, Inc.",N/A,N/A
66,AIN,Albany International Corp.,consumer-cyclical,textile-manufacturing
67,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,financial-services,asset-management
68,AIR,AAR Corp.,industrials,aerospace-defense
69,AIT,"Applied Industrial Technologies, Inc.",industrials,industrial-distribution
70,AIV,Apartment Investment and Management Company,real-estate,reit-residential
71,AIZ,"Assurant, Inc.",financial-services,insurance-property-casualty
72,AIZN,"Assurant, Inc. 5.25% Subordinat",N/A,N/A
73,AJG,Arthur J. Gallagher & Co.,financial-services,insurance-brokers
74,AKA,a.k.a. Brands Holding Corp.,consumer-cyclical,apparel-retail
75,AKR,Acadia Realty Trust,real-estate,reit-retail
76,AL,Air Lease Corporation,industrials,rental-leasing-services
77,ALB,Albemarle Corporation,basic-materials,specialty-chemicals
78,ALC,Alcon Inc.,healthcare,medical-instruments-supplies
79,ALE,"ALLETE, Inc.",utilities,utilities-diversified
80,ALEX,"Alexander & Baldwin, Inc.",real-estate,reit-retail
81,ALG,Alamo Group Inc.,industrials,farm-heavy-construction-machinery
82,ALIT,"Alight, Inc.",technology,software-application
83,ALK,"Alaska Air Group, Inc.",industrials,airlines
84,ALL,The Allstate Corporation,financial-services,insurance-property-casualty
85,ALLE,Allegion plc,industrials,security-protection-services
86,ALLY,Ally Financial Inc.,financial-services,credit-services
87,ALSN,"Allison Transmission Holdings, Inc.",consumer-cyclical,auto-parts
88,ALTG,Alta Equipment Group Inc.,industrials,rental-leasing-services
89,ALUR,Allurion Technologies Inc.,healthcare,medical-devices
90,ALV,"Autoliv, Inc.",consumer-cyclical,auto-parts
91,ALX,"Alexander's, Inc.",real-estate,reit-retail
92,AM,Antero Midstream Corporation,energy,oil-gas-midstream
93,AMBC,"Ambac Financial Group, Inc.",financial-services,insurance-specialty
94,AMBP,Ardagh Metal Packaging S.A.,consumer-cyclical,packaging-containers
95,AMC,"AMC Entertainment Holdings, Inc.",communication-services,entertainment
96,AMCR,Amcor plc,consumer-cyclical,packaging-containers
97,AME,"AMETEK, Inc.",industrials,specialty-industrial-machinery
98,AMG,"Affiliated Managers Group, Inc.",financial-services,asset-management
99,AMH,American Homes 4 Rent,real-estate,reit-residential
100,AMN,"AMN Healthcare Services, Inc.",healthcare,medical-care-facilities
101,AMP,"Ameriprise Financial, Inc.",financial-services,asset-management
102,AMPX,"Amprius Technologies, Inc.",industrials,electrical-equipment-parts
103,AMPY,Amplify Energy Corp.,energy,oil-gas-e-p
104,AMR,"Alpha Metallurgical Resources, Inc.",basic-materials,coking-coal
105,AMRC,"Ameresco, Inc.",industrials,engineering-construction
106,AMT,American Tower Corporation,real-estate,reit-specialty
107,AMTB,Amerant Bancorp Inc.,financial-services,banks-regional
108,AMTD,AMTD IDEA Group,financial-services,asset-management
109,AMTM,"Amentum Holdings, Inc.",industrials,specialty-business-services
110,AMWL,American Well Corporation,healthcare,health-information-services
111,AMX,"América Móvil, S.A.B. de C.V.",communication-services,telecom-services
112,AN,"AutoNation, Inc.",consumer-cyclical,auto-truck-dealerships
113,ANET,Arista Networks Inc,technology,computer-hardware
114,ANF,Abercrombie & Fitch Co.,consumer-cyclical,apparel-retail
115,ANRO,"Alto Neuroscience, Inc.",healthcare,biotechnology
116,ANVS,"Annovis Bio, Inc.",healthcare,biotechnology
117,AOD,Abrdn Total Dynamic Dividend Fund,financial-services,asset-management
118,AOMN,"Angel Oak Mortgage REIT, Inc. 9",N/A,N/A
119,AOMR,"Angel Oak Mortgage REIT, Inc.",real-estate,reit-mortgage
120,AON,Aon plc,financial-services,insurance-brokers
121,AORT,"Artivion, Inc.",healthcare,medical-devices
122,AOS,A. O. Smith Corporation,industrials,specialty-industrial-machinery
123,AP,Ampco-Pittsburgh Corporation,industrials,metal-fabrication
124,APAM,Artisan Partners Asset Management Inc.,financial-services,asset-management
125,APD,"Air Products and Chemicals, Inc.",basic-materials,specialty-chemicals
126,APG,APi Group Corporation,industrials,engineering-construction
127,APH,Amphenol Corporation,technology,electronic-components
128,APLE,"Apple Hospitality REIT, Inc.",real-estate,reit-hotel-motel
129,APO,"Apollo Global Management, Inc.",financial-services,asset-management
130,APOS,"Apollo Global Management, Inc. ",N/A,N/A
131,APTV,Aptiv PLC,consumer-cyclical,auto-parts
132,AQN,Algonquin Power & Utilities Corp.,utilities,utilities-diversified
133,AQNB,Algonquin Power & Utilities Cor,N/A,N/A
134,AR,Antero Resources Corporation,energy,oil-gas-e-p
135,ARCO,Arcos Dorados Holdings Inc.,consumer-cyclical,restaurants
136,ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",financial-services,asset-management
137,ARDT,"Ardent Health Partners, Inc.",healthcare,medical-care-facilities
138,ARE,"Alexandria Real Estate Equities, Inc.",real-estate,reit-office
139,ARES,Ares Management Corporation,financial-services,asset-management
140,ARGD,"Argo Group U.S., Inc.",N/A,N/A
141,ARI,"Apollo Commercial Real Estate Finance, Inc.",real-estate,reit-mortgage
142,ARIS,"Aris Water Solutions, Inc.",utilities,utilities-regulated-water
143,ARL,"American Realty Investors, Inc.",real-estate,real-estate-services
144,ARLO,"Arlo Technologies, Inc.",industrials,building-products-equipment
145,ARMK,Aramark,industrials,specialty-business-services
146,AROC,"Archrock, Inc.",energy,oil-gas-equipment-services
147,ARR,"ARMOUR Residential REIT, Inc.",real-estate,reit-mortgage
148,ARW,"Arrow Electronics, Inc.",technology,electronics-computer-distribution
149,AS,"Amer Sports, Inc.",consumer-cyclical,leisure
150,ASA,ASA Gold and Precious Metals Limited,financial-services,asset-management
151,ASAN,"Asana, Inc.",technology,software-application
152,ASB,Associated Banc-Corp,financial-services,banks-regional
153,ASBA,N/A,N/A,N/A
154,ASC,Ardmore Shipping Corporation,industrials,marine-shipping
155,ASG,"Liberty All-Star Growth Fund, Inc.",financial-services,asset-management
156,ASGI,Abrdn Global Infrastructure Income Fund,financial-services,asset-management
157,ASGN,ASGN Incorporated,technology,information-technology-services
158,ASH,Ashland Inc.,basic-materials,specialty-chemicals
159,ASIX,AdvanSix Inc.,basic-materials,chemicals
160,ASPN,"Aspen Aerogels, Inc.",industrials,building-products-equipment
161,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",industrials,airports-air-services
162,ASX,"ASE Technology Holding Co., Ltd.",technology,semiconductors
163,ATEN,"A10 Networks, Inc.",technology,software-infrastructure
164,ATGE,Adtalem Global Education Inc.,consumer-defensive,education-training-services
165,ATHM,Autohome Inc.,communication-services,internet-content-information
166,ATHS,Athene Holding Ltd. 7.250% Fixe,N/A,N/A
167,ATI,ATI Inc.,industrials,metal-fabrication
168,ATKR,Atkore Inc.,industrials,electrical-equipment-parts
169,ATMU,Atmus Filtration Technologies Inc.,industrials,pollution-treatment-controls
170,ATO,Atmos Energy Corporation,utilities,utilities-regulated-gas
171,ATR,"AptarGroup, Inc.",healthcare,medical-instruments-supplies
172,ATS,ATS Corporation,industrials,specialty-industrial-machinery
173,ATUS,"Altice USA, Inc.",communication-services,telecom-services
174,AU,AngloGold Ashanti plc,basic-materials,gold
175,AUB,Atlantic Union Bankshares Corporation,financial-services,banks-regional
176,AUNA,Auna SA,healthcare,medical-care-facilities
177,AVA,Avista Corporation,utilities,utilities-diversified
178,AVAL,Grupo Aval Acciones y Valores S.A.,financial-services,banks-regional
179,AVB,"AvalonBay Communities, Inc.",real-estate,reit-residential
180,AVD,American Vanguard Corporation,basic-materials,agricultural-inputs
181,AVK,Advent Convertible and Income Fund,financial-services,asset-management
182,AVNS,"Avanos Medical, Inc.",healthcare,medical-devices
183,AVNT,Avient Corporation,basic-materials,specialty-chemicals
184,AVTR,"Avantor, Inc.",healthcare,medical-instruments-supplies
185,AVY,Avery Dennison Corporation,consumer-cyclical,packaging-containers
186,AWF,AllianceBernstein Global High Income Fund,financial-services,asset-management
187,AWI,"Armstrong World Industries, Inc.",industrials,building-products-equipment
188,AWK,"American Water Works Company, Inc.",utilities,utilities-regulated-water
189,AWP,abrdn Global Premier Properties Fund,financial-services,asset-management
190,AWR,American States Water Company,utilities,utilities-regulated-water
191,AX,"Axos Financial, Inc.",financial-services,banks-regional
192,AXL,"American Axle & Manufacturing Holdings, Inc.",consumer-cyclical,auto-parts
193,AXP,American Express Company,financial-services,credit-services
194,AXR,AMREP Corporation,real-estate,real-estate-development
195,AXS,AXIS Capital Holdings Limited,financial-services,insurance-specialty
196,AXTA,Axalta Coating Systems Ltd.,basic-materials,specialty-chemicals
197,AYI,Acuity Inc.,industrials,electrical-equipment-parts
198,AZEK,The AZEK Company Inc.,industrials,building-products-equipment
199,AZO,"AutoZone, Inc.",consumer-cyclical,auto-parts
200,AZUL,Azul S.A.,industrials,airlines
201,AZZ,AZZ Inc.,industrials,specialty-business-services
202,B,Barrick Mining Corporation,basic-materials,gold
203,BA,The Boeing Company,industrials,aerospace-defense
204,BABA,Alibaba Group Holding Limited,consumer-cyclical,internet-retail
205,BAC,Bank of America Corporation,financial-services,banks-diversified
206,BAH,Booz Allen Hamilton Holding Corporation,industrials,consulting-services
207,BAK,Braskem S.A.,basic-materials,chemicals
208,BALL,Ball Corporation,consumer-cyclical,packaging-containers
209,BALY,Bally's Corporation,consumer-cyclical,resorts-casinos
210,BAM,Brookfield Asset Management Ltd.,financial-services,asset-management
211,BANC,"Banc of California, Inc.",financial-services,banks-regional
212,BAP,Credicorp Ltd.,financial-services,banks-regional
213,BARK,"BARK, Inc.",consumer-cyclical,specialty-retail
214,BAX,Baxter International Inc.,healthcare,medical-instruments-supplies
215,BB,BlackBerry Limited,technology,software-infrastructure
216,BBAI,"BigBear.ai Holdings, Inc.",technology,information-technology-services
217,BBAR,Banco BBVA Argentina S.A.,financial-services,banks-regional
218,BBD,Banco Bradesco S.A.,financial-services,banks-regional
219,BBDC,"Barings BDC, Inc.",financial-services,asset-management
220,BBDO,Banco Bradesco S.A.,financial-services,banks-regional
221,BBN,BlackRock Taxable Municipal Bond Trust,financial-services,asset-management
222,BBU,Brookfield Business Partners L.P.,industrials,conglomerates
223,BBUC,Brookfield Business Corporation,financial-services,asset-management
224,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",financial-services,banks-diversified
225,BBW,"Build-A-Bear Workshop, Inc.",consumer-cyclical,specialty-retail
226,BBWI,"Bath & Body Works, Inc.",consumer-cyclical,specialty-retail
227,BBY,"Best Buy Co., Inc.",consumer-cyclical,specialty-retail
228,BC,Brunswick Corporation,consumer-cyclical,recreational-vehicles
229,BCAT,BlackRock Capital Allocation Term Trust,financial-services,asset-management
230,BCC,Boise Cascade Company,basic-materials,lumber-wood-production
231,BCE,BCE Inc.,communication-services,telecom-services
232,BCH,Banco de Chile,financial-services,banks-regional
233,BCO,The Brink's Company,industrials,security-protection-services
234,BCS,Barclays PLC,financial-services,banks-diversified
235,BCSF,"Bain Capital Specialty Finance, Inc.",financial-services,asset-management
236,BCX,Blackrock Resources & Commodities Strategy Trust,financial-services,asset-management
237,BDC,Belden Inc.,technology,communication-equipment
238,BDJ,BlackRock Enhanced Equity Dividend Trust,financial-services,asset-management
239,BDN,Brandywine Realty Trust,real-estate,reit-office
240,BDX,"Becton, Dickinson and Company",healthcare,medical-instruments-supplies
241,BE,Bloom Energy Corporation,industrials,electrical-equipment-parts
242,BEDU,Bright Scholar Education Holdings Limited,consumer-defensive,education-training-services
243,BEKE,KE Holdings Inc.,real-estate,real-estate-services
244,BEN,"Franklin Resources, Inc.",financial-services,asset-management
245,BEP,Brookfield Renewable Partners L.P.,utilities,utilities-renewable
246,BEPC,Brookfield Renewable Corporation,utilities,utilities-renewable
247,BEPH,Brookfield BRP Holdings (Canada,N/A,N/A
248,BEPI,Brookfield BRP Holdings (Canada,N/A,N/A
249,BEPJ,Brookfield BRP Holdings (Canada,N/A,N/A
250,BFAM,Bright Horizons Family Solutions Inc.,consumer-cyclical,personal-services
251,BFH,"Bread Financial Holdings, Inc.",financial-services,credit-services
252,BFK,BlackRock Municipal Income Trust,financial-services,asset-management
253,BFLY,"Butterfly Network, Inc.",healthcare,medical-devices
254,BFS,"Saul Centers, Inc.",real-estate,reit-retail
255,BFZ,BlackRock California Municipal Income Trust,financial-services,asset-management
256,BG,Bunge Global SA,consumer-defensive,farm-products
257,BGB,Blackstone Strategic Credit 2027 Term Fund,financial-services,asset-management
258,BGH,Barings Global Short Duration High Yield Fund,financial-services,asset-management
259,BGR,BlackRock Energy and Resources Trust,financial-services,asset-management
260,BGS,"B&G Foods, Inc.",consumer-defensive,packaged-foods
261,BGSF,"BGSF, Inc.",industrials,staffing-employment-services
262,BGT,BlackRock Floating Rate Income Trust,financial-services,asset-management
263,BGX,Blackstone Long-Short Credit Income Fund,financial-services,asset-management
264,BGY,BlackRock Enhanced International Dividend Trust,financial-services,asset-management
265,BH,Biglari Holdings Inc.,consumer-cyclical,restaurants
266,BHC,Bausch Health Companies Inc.,healthcare,drug-manufacturers-specialty-generic
267,BHE,"Benchmark Electronics, Inc.",technology,electronic-components
268,BHK,BlackRock Core Bond Trust,financial-services,asset-management
269,BHLB,"Berkshire Hills Bancorp, Inc.",financial-services,banks-regional
270,BHP,BHP Group Limited,basic-materials,other-industrial-metals-mining
271,BHR,Braemar Hotels & Resorts Inc.,real-estate,reit-hotel-motel
272,BHV,BlackRock Virginia Municipal Bond Trust,financial-services,asset-management
273,BHVN,Biohaven Ltd.,healthcare,biotechnology
274,BILL,"BILL Holdings, Inc.",technology,software-application
275,BIO,"Bio-Rad Laboratories, Inc.",healthcare,medical-devices
276,BIP,Brookfield Infrastructure Partners L.P.,utilities,utilities-diversified
277,BIPC,Brookfield Infrastructure Corporation,utilities,utilities-regulated-gas
278,BIPH,Safeplus International Holdings Limited,N/A,N/A
279,BIPI,BIP Bermuda Holdings I Limited ,N/A,N/A
280,BIPJ,Brookfield Infrastructure Finance ULC,N/A,N/A
281,BIRK,Birkenstock Holding plc,consumer-cyclical,footwear-accessories
282,BIT,BlackRock Multi-Sector Income Trust,financial-services,asset-management
283,BJ,"BJ's Wholesale Club Holdings, Inc.",consumer-defensive,discount-stores
284,BK,The Bank of New York Mellon Corporation,financial-services,banks-diversified
285,BKD,Brookdale Senior Living Inc.,healthcare,medical-care-facilities
286,BKE,"The Buckle, Inc.",consumer-cyclical,apparel-retail
287,BKH,Black Hills Corporation,utilities,utilities-regulated-gas
288,BKKT,"Bakkt Holdings, Inc.",technology,software-infrastructure
289,BKN,BlackRock Investment Quality Municipal Trust Inc.,financial-services,asset-management
290,BKSY,BlackSky Technology Inc.,industrials,specialty-business-services
291,BKT,"BlackRock Income Trust, Inc.",financial-services,asset-management
292,BKU,"BankUnited, Inc.",financial-services,banks-regional
293,BKV,BKV Corporation,energy,oil-gas-e-p
294,BLCO,Bausch + Lomb Corporation,healthcare,medical-instruments-supplies
295,BLD,TopBuild Corp.,industrials,engineering-construction
296,BLDR,"Builders FirstSource, Inc.",industrials,building-products-equipment
297,BLE,BlackRock Municipal Income Trust II,financial-services,asset-management
298,BLK,"BlackRock, Inc.",financial-services,asset-management
299,BLND,"Blend Labs, Inc.",technology,software-application
300,BLW,BlackRock Limited Duration Income Trust,financial-services,asset-management
301,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",financial-services,banks-regional
302,BMA,Banco Macro S.A.,financial-services,banks-regional
303,BME,BlackRock Health Sciences Trust,financial-services,asset-management
304,BMEZ,BlackRock Health Sciences Term Trust,financial-services,asset-management
305,BMI,"Badger Meter, Inc.",technology,scientific-technical-instruments
306,BMN,Blackrock 2037 Municipal Target Term Trust,financial-services,asset-management
307,BMO,Bank of Montreal,financial-services,banks-diversified
308,BMY,Bristol-Myers Squibb Company,healthcare,drug-manufacturers-general
309,BN,Brookfield Corporation,financial-services,asset-management
310,BNED,"Barnes & Noble Education, Inc.",consumer-cyclical,specialty-retail
311,BNH,NASDAQ DM Ex US Industrials Ind,N/A,N/A
312,BNJ,Brookfield Finance Inc. 4.50% P,N/A,N/A
313,BNL,"Broadstone Net Lease, Inc.",real-estate,reit-diversified
314,BNS,The Bank of Nova Scotia,financial-services,banks-diversified
315,BNT,Brookfield Wealth Solutions Ltd.,financial-services,insurance-diversified
316,BNY,BlackRock New York Municipal Income Trust,financial-services,asset-management
317,BOC,Boston Omaha Corporation,industrials,conglomerates
318,BODI,"The Beachbody Company, Inc.",communication-services,internet-content-information
319,BOE,BlackRock Enhanced Global Dividend Trust,financial-services,asset-management
320,BOH,Bank of Hawaii Corporation,financial-services,banks-regional
321,BOOT,"Boot Barn Holdings, Inc.",consumer-cyclical,apparel-retail
322,BORR,Borr Drilling Limited,energy,oil-gas-drilling
323,BOW,Bowhead Specialty Holdings Inc.,financial-services,insurance-property-casualty
324,BOX,"Box, Inc.",technology,software-infrastructure
325,BP,BP p.l.c.,energy,oil-gas-integrated
326,BPT,BP Prudhoe Bay Royalty Trust,energy,oil-gas-midstream
327,BR,"Broadridge Financial Solutions, Inc.",technology,information-technology-services
328,BRBR,"BellRing Brands, Inc.",consumer-defensive,packaged-foods
329,BRC,Brady Corporation,industrials,security-protection-services
330,BRCC,BRC Inc.,consumer-defensive,packaged-foods
331,BRDG,Bridge Investment Group Holdings Inc.,financial-services,asset-management
332,BRFS,BRF S.A.,consumer-defensive,packaged-foods
333,BRO,"Brown & Brown, Inc.",financial-services,insurance-brokers
334,BROS,Dutch Bros Inc.,consumer-cyclical,restaurants
335,BRSP,"BrightSpire Capital, Inc.",real-estate,reit-mortgage
336,BRT,BRT Apartments Corp.,real-estate,reit-residential
337,BRW,Saba Capital Income & Opportunities Fund,financial-services,asset-management
338,BRX,Brixmor Property Group Inc.,real-estate,reit-retail
339,BSAC,Banco Santander-Chile,financial-services,banks-regional
340,BSBR,Banco Santander (Brasil) S.A.,financial-services,banks-regional
341,BSL,Blackstone Senior Floating Rate 2027 Term Fund,financial-services,asset-management
342,BSM,"Black Stone Minerals, L.P.",energy,oil-gas-e-p
343,BST,BlackRock Science and Technology Trust,financial-services,asset-management
344,BSTZ,BlackRock Science and Technology Term Trust,financial-services,asset-management
345,BSX,Boston Scientific Corporation,healthcare,medical-devices
346,BTA,BlackRock Long-Term Municipal Advantage Trust,financial-services,asset-management
347,BTCM,BIT Mining Limited,technology,information-technology-services
348,BTE,Baytex Energy Corp.,energy,oil-gas-e-p
349,BTI,British American Tobacco p.l.c.,consumer-defensive,tobacco
350,BTO,John Hancock Financial Opportunities Fund,financial-services,asset-management
351,BTT,Blackrock Municipal 2030 Target Term Trust,financial-services,asset-management
352,BTU,Peabody Energy Corporation,energy,thermal-coal
353,BTX,BlackRock Innovation and Growth Term Trust,financial-services,asset-management
354,BTZ,BlackRock Credit Allocation Income Trust,financial-services,asset-management
355,BUD,Anheuser-Busch InBev SA/NV,consumer-defensive,beverages-brewers
356,BUI,"BlackRock Utilities, Infrastructure & Power Opportunities Trust",financial-services,asset-management
357,BUR,Burford Capital Limited,financial-services,asset-management
358,BURL,"Burlington Stores, Inc.",consumer-cyclical,apparel-retail
359,BV,"BrightView Holdings, Inc.",industrials,specialty-business-services
360,BVN,Compañía de Minas Buenaventura S.A.A.,basic-materials,other-precious-metals-mining
361,BW,"Babcock & Wilcox Enterprises, Inc.",industrials,specialty-industrial-machinery
362,BWA,BorgWarner Inc.,consumer-cyclical,auto-parts
363,BWG,Legg Mason BW Global Income Opportunities Fund Inc.,financial-services,asset-management
364,BWLP,BW LPG Limited,industrials,marine-shipping
365,BWMX,"Betterware de México, S.A.P.I. de C.V.",consumer-cyclical,specialty-retail
366,BWNB,"Babcock & Wilcox Enterprises, I",N/A,N/A
367,BWSN,"Babcock & Wilcox Enterprises, I",N/A,N/A
368,BWXT,"BWX Technologies, Inc.",industrials,aerospace-defense
369,BX,Blackstone Inc.,financial-services,asset-management
370,BXC,BlueLinx Holdings Inc.,industrials,industrial-distribution
371,BXMT,"Blackstone Mortgage Trust, Inc.",real-estate,reit-mortgage
372,BXMX,Nuveen S&P 500 Buy-Write Income Fund,financial-services,asset-management
373,BXP,"BXP, Inc.",real-estate,reit-office
374,BXSL,Blackstone Secured Lending Fund,financial-services,asset-management
375,BY,"Byline Bancorp, Inc.",financial-services,banks-regional
376,BYD,Boyd Gaming Corporation,consumer-cyclical,resorts-casinos
377,BYM,BlackRock Municipal Income Quality Trust,financial-services,asset-management
378,BYON,"Beyond, Inc.",consumer-cyclical,internet-retail
379,BZH,"Beazer Homes USA, Inc.",consumer-cyclical,residential-construction
380,C,Citigroup Inc.,financial-services,banks-diversified
381,CAAP,Corporación América Airports S.A.,industrials,airports-air-services
382,CABO,"Cable One, Inc.",communication-services,telecom-services
383,CACI,CACI International Inc,technology,information-technology-services
384,CADE,Cadence Bank,financial-services,banks-regional
385,CAE,CAE Inc.,industrials,aerospace-defense
386,CAF,"Morgan Stanley China A Share Fund, Inc.",financial-services,asset-management
387,CAG,"Conagra Brands, Inc.",consumer-defensive,packaged-foods
388,CAH,"Cardinal Health, Inc.",healthcare,medical-distribution
389,CAL,"Caleres, Inc.",consumer-cyclical,apparel-retail
390,CALX,"Calix, Inc.",technology,software-infrastructure
391,CANG,Cango Inc.,consumer-cyclical,auto-truck-dealerships
392,CAPL,CrossAmerica Partners LP,energy,oil-gas-refining-marketing
393,CARR,Carrier Global Corporation,industrials,building-products-equipment
394,CARS,Cars.com Inc.,consumer-cyclical,auto-truck-dealerships
395,CAT,Caterpillar Inc.,industrials,farm-heavy-construction-machinery
396,CATO,The Cato Corporation,consumer-cyclical,apparel-retail
397,CAVA,"CAVA Group, Inc.",consumer-cyclical,restaurants
398,CB,Chubb Limited,financial-services,insurance-property-casualty
399,CBAN,"Colony Bankcorp, Inc.",financial-services,banks-regional
400,CBL,"CBL & Associates Properties, Inc.",real-estate,reit-retail
401,CBNA,"Chain Bridge Bancorp, Inc.",financial-services,banks-regional
402,CBRE,"CBRE Group, Inc.",real-estate,real-estate-services
403,CBT,Cabot Corporation,basic-materials,specialty-chemicals
404,CBU,"Community Financial System, Inc.",financial-services,banks-regional
405,CBZ,"CBIZ, Inc.",industrials,specialty-business-services
406,CC,The Chemours Company,basic-materials,specialty-chemicals
407,CCI,Crown Castle Inc.,real-estate,reit-specialty
408,CCIA,Vertical Capital Income Fund,N/A,N/A
409,CCIF,Carlyle Credit Income Fund,financial-services,asset-management
410,CCJ,Cameco Corporation,energy,uranium
411,CCK,"Crown Holdings, Inc.",consumer-cyclical,packaging-containers
412,CCL,Carnival Corporation & plc,consumer-cyclical,travel-services
413,CCM,Concord Medical Services Holdings Limited,healthcare,medical-care-facilities
414,CCO,"Clear Channel Outdoor Holdings, Inc.",communication-services,advertising-agencies
415,CCRD,CoreCard Corporation,technology,software-application
416,CCS,"Century Communities, Inc.",real-estate,real-estate-development
417,CCU,Compañía Cervecerías Unidas S.A.,consumer-defensive,beverages-brewers
418,CCZ,Comcast Holdings Corp.,N/A,N/A
419,CDE,"Coeur Mining, Inc.",basic-materials,gold
420,CDLR,Cadeler A/S,industrials,engineering-construction
421,CDP,COPT Defense Properties,real-estate,reit-office
422,CDRE,"Cadre Holdings, Inc.",industrials,aerospace-defense
423,CE,Celanese Corporation,basic-materials,chemicals
424,CEE,"The Central and Eastern Europe Fund, Inc.",financial-services,asset-management
425,CEPU,Central Puerto S.A.,utilities,utilities-regulated-electric
426,CF,"CF Industries Holdings, Inc.",basic-materials,agricultural-inputs
427,CFG,"Citizens Financial Group, Inc.",financial-services,banks-regional
428,CFR,"Cullen/Frost Bankers, Inc.",financial-services,banks-regional
429,CGAU,Centerra Gold Inc.,basic-materials,gold
430,CHCT,Community Healthcare Trust Incorporated,real-estate,reit-healthcare-facilities
